Параметр, Формат, Опис
.. _Company:, Об'єкт **Company**,
companyId,long,ID компанії
accountId,long,ID аккаунта
type,int,тип компанії (1 - юр. особа; 2 - фіз. особа)
name,String,назва компанії
legalName,String,юридична назва
inn,String,ідентифікаційний номер платника податків
code,String,свідоцтво платника ПДВ
phone,String,телефон
info,String,додаткова інформація
isApproved,int,ознака створення компанії з ЕЦП; можливі значення: 0 - створена звичайним способом; 1 - створена з ЕЦП
isSignedOffer,int,ознака підписана чи оферта; значення за замовчуванням = 0; коментар: 0 - Ні; 1 - Так
isActive,int,статус компанії: активна / деактивовано; значення за замовчуванням = 1; коментар: 0 - Ні; 1 - Так
ownershipType,String,форма власності
atCode,String,код КОАТУУ (Класифікатор об'єктів адміністративно-територіального устрою України)
certNum,String,свідоцтво платника ПДВ
uuID,String,унікальний ідентифікатор компанії
**bankAcc**,BankAcc_,об'єкт; банківські реквізити
**legalAddress**,Address_,об'єкт; юридична адреса
**actualAddress**,Address_,об'єкт; фактична адреса
**fizName**,CompanyFizName_,об'єкт; ПІБ фіз. особи компанії
**certificates**,List<Certificate_>,масив об'єктів; сертифікати
**dictionaries**,List<Dictionary_>,масив об'єктів; довідники
**notifySettings**,List<EmailNotifySettings_>,масив об'єктів; налаштування відправки повідомлень на пошту
